leader,iso3,startyear,endyear,circle_id
Manning,TTO,2001,2010,CIRC_00866
Mamady Doumbouya,GIN,2021,2023,CIRC_00340
Maduro,VEN,2012,2023,CIRC_00917
Kerekou,BEN,1972,1991,CIRC_00069
Kerekou,BEN,1996,2006,CIRC_00069
Caldera Rodriguez,VEN,1994,1999,CIRC_00915
Gouled Aptidon,SOM,1977,1999,CIRC_00238
Sompare,GIN,2008,2008,CIRC_00336
Robinson,TTO,1986,1991,CIRC_00865
Aquino,PHL,1986,1992,CIRC_00683
Keith Rowley,TTO,2015,2023,CIRC_00869
Conde,GIN,2010,2021,CIRC_00339
Violeta Chamorro,NIC,1990,1997,CIRC_00627
Ranariddh,KHM,1993,1997,CIRC_00155
Sanha,GNB,1999,2000,CIRC_00316
Sanha,GNB,2009,2011,CIRC_00316
Hun Manet,KHM,2023,2023,CIRC_00156
Ibrahim Traore,BFA,2022,2023,CIRC_00077
Calderon Fournier,NIC,1990,1994,CIRC_00206
Vieira,GNB,1980,1999,CIRC_00315
Correia Seabra,GNB,2003,2003,CIRC_00315
Vieira,GNB,2005,2009,CIRC_00315
Raimundo Perreira,GNB,2009,2009,CIRC_00315
Raimundo Pereira,GNB,2012,2012,CIRC_00315
Manuel Serifo Nhamadjo,GNB,2012,2014,CIRC_00315
Umaro Cissoko Embalo,GNB,2020,2023,CIRC_00315
Enrique Bolanos,NIC,2002,2007,CIRC_00629
Abacha,NGA,1993,1998,CIRC_00632
Vaz,GNB,2014,2020,CIRC_00319
Kumba Iala,GNB,2000,2003,CIRC_00317
Catherine Samba-Panza,TCD,2014,2016,CIRC_00178
Mahamat D��by,TCD,2021,2023,CIRC_00181
Aleman,NIC,1997,2002,CIRC_00628
Henrique Pereira Rosa,GNB,2003,2005,CIRC_00318
Daniel Ortega,NIC,1979,1990,CIRC_00626
Daniel Ortega,NIC,2007,2023,CIRC_00626
Hun Sen,KHM,1985,1993,CIRC_00154
Hun Sen,KHM,1997,2023,CIRC_00154
Campaore,BFA,1987,2014,CIRC_00073
Kafando,BFA,2014,2015,CIRC_00073
Roch Marc Christian Kabore,BFA,2015,2022,CIRC_00073
Paul-Henri Sandaogo Damiba,BFA,2022,2022,CIRC_00076
Ibrahim Boubacar Keita,MLI,2013,2020,CIRC_00579
Traore,BFA,2014,2014,CIRC_00074
Gowda,IND,1996,1997,CIRC_00378
Dioncounda Traore,MLI,2012,2013,CIRC_00578
Assimi Goita,MLI,2021,2023,CIRC_00578
Zida,BFA,2014,2014,CIRC_00075
Yar'Adua,NGA,2007,2010,CIRC_00634
Muhummadu Buhari,NGA,2015,2023,CIRC_00636
Sandiford,BRB,1987,1994,CIRC_00056
Stuart,BRB,2010,2018,CIRC_00058
Mottley,BRB,2018,2023,CIRC_00059
Jammeh,GMB,1994,2017,CIRC_00304
Mamadou Tandja,NER,1999,2010,CIRC_00641
Arthur,BRB,1994,2008,CIRC_00057
Bah Ndaw,MLI,2020,2021,CIRC_00581
Adama Barrow,GMB,2017,2023,CIRC_00305
Saca Gonz��lez,SLV,2004,2009,CIRC_00746
Rashad Mohammed al-Alimi,YEM,2022,2023,CIRC_00920
Wanke,NER,1999,1999,CIRC_00640
Jawara,GMB,1965,1994,CIRC_00303
Mainassara,NER,1996,1999,CIRC_00639
Amadou Sanogo,MLI,2012,2012,CIRC_00577
Djibo,NER,2010,2011,CIRC_00642
Cristiani,SLV,1989,1994,CIRC_00744
Calderon Sol,SLV,1994,1999,CIRC_00744
Funes,SLV,2009,2014,CIRC_00744
Nayib Bukele,SLV,2019,2023,CIRC_00744
Abd Rabbuh Mansur Hadi,YEM,2012,2022,CIRC_00919
Choonhavan,THA,1988,1991,CIRC_00848
Panyarachun,THA,1991,1992,CIRC_00849
Panyarachun,THA,1992,1992,CIRC_00849
Sundaravej,THA,2008,2008,CIRC_00849
Chanweerakul,THA,2008,2008,CIRC_00849
Niwattumrong Boonsongpaisan,THA,2014,2014,CIRC_00849
Srettha Thavisin,THA,2023,2023,CIRC_00849
Kraprayoon,THA,1992,1992,CIRC_00850
Ousmane,NER,1993,1996,CIRC_00638
Claudia Guevara,SLV,2023,2023,CIRC_00748
Chavalit Yongchaiyudh,THA,1996,1997,CIRC_00853
Espina Salguero,GTM,1993,1993,CIRC_00333
Sanchez Ceren,SLV,2014,2019,CIRC_00747
Siphandon,LAO,1998,2006,CIRC_00469
Flores,SLV,1999,2004,CIRC_00745
Chulanont,THA,2006,2008,CIRC_00855
Callejas,HND,1990,1994,CIRC_00357
Flores Facusse,HND,1998,2002,CIRC_00357
Reina,HND,1994,1998,CIRC_00358
Meles Zenawi,ETH,1991,2012,CIRC_00273
Issoufou,NER,2011,2021,CIRC_00643
Macky Sall,SEN,2012,2023,CIRC_00752
Seibou,NER,1987,1993,CIRC_00637
Mohamed Bazoum,NER,2021,2023,CIRC_00644
Traore,MLI,1968,1991,CIRC_00575
Konare,MLI,1992,2002,CIRC_00575
Silpa-Archa,THA,1995,1996,CIRC_00852
Amadou Toure,MLI,1991,1992,CIRC_00576
Amadou Toure,MLI,2002,2012,CIRC_00576
Abdourahamane Tchiani,NER,2023,2023,CIRC_00645
Hernandez,HND,2014,2022,CIRC_00363
Bongbong Marcos,PHL,2022,2023,CIRC_00689
Gloria Macapagal-Arroyo,PHL,2001,2010,CIRC_00686
Zelaya,HND,2006,2009,CIRC_00360
Estrada,PHL,1998,2001,CIRC_00685
Benigno Aquino III,PHL,2010,2016,CIRC_00687
Cerezo,GTM,1986,1991,CIRC_00332
Serrano Elias,GTM,1991,1993,CIRC_00332
Leon Carpio,GTM,1993,1996,CIRC_00332
Arzu Yrigoyen,GTM,1996,2000,CIRC_00332
Berger Perdomo,GTM,2004,2008,CIRC_00332
Colom Caballeros,GTM,2008,2012,CIRC_00332
Perez Molina,GTM,2012,2015,CIRC_00332
Alejandro Maldonado Aguirre,GTM,2015,2016,CIRC_00332
Jimmy Morales Cabrera,GTM,2016,2020,CIRC_00332
Alejandro Giammattei,GTM,2020,2023,CIRC_00332
Perez Molina,GTM,2012,2015,CIRC_00958
Sayasone,LAO,2006,2016,CIRC_00470
Pires,CPV,1975,1991,CIRC_00164
Correia e Silva,CPV,2016,2023,CIRC_00167
Prayuth Chan-ocha,THA,2014,2023,CIRC_00858
Alfonso Portillo Cabrera,GTM,2000,2004,CIRC_00334
Iris Xiomara Castro Sarmiento,HND,2022,2023,CIRC_00364
Neves,CPV,2001,2016,CIRC_00166
Saleh al-Hashidi,YEM,1978,2012,CIRC_00918
dit M'Bare,MRT,2009,2009,CIRC_00524
Afeworki,ERI,1993,2023,CIRC_00265
Abdoulaye Wade,SEN,2000,2012,CIRC_00751
Micheletti,HND,2009,2010,CIRC_00361
Diouf,SEN,1981,2000,CIRC_00750
Azcona Hoyo,HND,1986,1990,CIRC_00356
Lobo,HND,2010,2014,CIRC_00362
Ramos,PHL,1992,1998,CIRC_00684
Deby,TCD,1990,2021,CIRC_00180
Thein Sein,MMR,2011,2016,CIRC_00594
Phounsavanh,THA,1992,1998,CIRC_00468
Phomivan,LAO,1975,1992,CIRC_00467
