GID_2,GID_0,year,pop_count,lnpop
AFG.25.4_1,AFG,1990,2958,1.08451336428861
AFG.25.5_1,AFG,1990,9212,2.22050698195844
AFG.25.6_1,AFG,1990,4826,1.57401796720284
AFG.25.7_1,AFG,1990,4577,1.52104376167151
AFG.25.8_1,AFG,1990,8695,2.16274814780625
AFG.25.9_1,AFG,1990,4854,1.57980310730441
AFG.25.10_1,AFG,1990,24258,3.18874645988669
AFG.25.11_1,AFG,1990,21640,3.07454345397828
AFG.25.12_1,AFG,1990,9756,2.27788248035367
AFG.25.13_1,AFG,1990,1330,0.285178942233662
AFG.25.14_1,AFG,1990,27115,3.30008708029302
AFG.25.15_1,AFG,1990,7566,2.02366452621084
AFG.26.1_1,AFG,1990,8286,2.11456734365521
AFG.26.2_1,AFG,1990,16804,2.82161695330714
AFG.26.3_1,AFG,1990,8781,2.17259029637786
AFG.26.4_1,AFG,1990,30674,3.42341539022859
AFG.26.5_1,AFG,1990,10528,2.35403837458296
AFG.26.6_1,AFG,1990,19072,2.94822129088294
AFG.26.7_1,AFG,1990,12438,2.5207563026817
AFG.26.8_1,AFG,1990,14458,2.67124789457811
AFG.26.9_1,AFG,1990,27964,3.33091796864974
AFG.26.10_1,AFG,1990,2621,0.963555924341269
AFG.26.11_1,AFG,1990,2290,0.828551817566148
AFG.26.12_1,AFG,1990,37966,3.63669102236835
AFG.27.1_1,AFG,1990,22218,3.10090277115953
AFG.27.2_1,AFG,1990,13227,2.58226019504391
AFG.27.3_1,AFG,1990,26067,3.26067014652518
AFG.28.1_1,AFG,1990,49454,3.90104294458498
AFG.28.2_1,AFG,1990,86027,4.4546612004688
AFG.28.3_1,AFG,1990,43273,3.7675288839342
AFG.28.4_1,AFG,1990,36002,3.58357449246851
AFG.28.5_1,AFG,1990,13616,2.61124557183102
AFG.28.6_1,AFG,1990,14269,2.65808935194844
AFG.28.7_1,AFG,1990,9500,2.2512917986065
AFG.28.8_1,AFG,1990,16944,2.82991378885905
AFG.28.9_1,AFG,1990,20034,2.99743083018957
AFG.29.1_1,AFG,1990,38282,3.64497981182392
AFG.29.2_1,AFG,1990,45826,3.82485161563715
AFG.29.3_1,AFG,1990,13289,2.58693662534937
AFG.29.4_1,AFG,1990,14568,2.67882734242531
AFG.29.5_1,AFG,1990,16137,2.78111477195922
AFG.30.1_1,AFG,1990,19749,2.98310285715385
AFG.30.2_1,AFG,1990,32213,3.47237009778274
AFG.30.3_1,AFG,1990,54852,4.00463864913761
AFG.30.4_1,AFG,1990,60461,4.1019985290756
AFG.30.5_1,AFG,1990,20930,3.04118353645791
AFG.30.6_1,AFG,1990,26057,3.26028644611375
AFG.31.1_1,AFG,1990,10280,2.33020026002702
AFG.31.2_1,AFG,1990,23247,3.14617609144992
AFG.31.3_1,AFG,1990,7150,1.96711235670592
AFG.31.4_1,AFG,1990,8723,2.16596321545108
AFG.31.5_1,AFG,1990,16821,2.82262810580965
AFG.31.6_1,AFG,1990,19132,2.95136232581805
AFG.31.7_1,AFG,1990,12116,2.49452689316499
AFG.31.8_1,AFG,1990,24798,3.21076300475765
AFG.31.9_1,AFG,1990,49244,3.89678753278537
AFG.31.10_1,AFG,1990,77591,4.3514514410816
AFG.31.11_1,AFG,1990,11821,2.46987761076824
AFG.31.12_1,AFG,1990,32615,3.48477230524806
AFG.32.1_1,AFG,1990,24407,3.19486997640135
AFG.32.2_1,AFG,1990,22433,3.11053308903117
AFG.32.3_1,AFG,1990,20784,3.03418345992824
AFG.32.4_1,AFG,1990,4602,1.52649099161317
AFG.32.5_1,AFG,1990,23256,3.14656316325658
AFG.32.6_1,AFG,1990,36004,3.58363004339484
AFG.33.1_1,AFG,1990,24503,3.19879555903401
AFG.33.2_1,AFG,1990,8438,2.13274531370215
AFG.33.3_1,AFG,1990,5561,1.71577794820543
AFG.33.4_1,AFG,1990,8298,2.11601452191068
